seed,profiles,p95_response_round_robin,p95_response_adaptive,p95_response_difference,weighted_score_round_robin,weighted_score_adaptive,weighted_score_difference,transition_p99_ms,accepted_switches,held_decisions,dwell_blocked_decisions,low_confidence_decisions,mean_confidence,score_fcfs,score_sjf,score_round_robin,score_priority,score_priority_rr
2026000000,io_intensive/batch/mixed,57.0,57.0,0.0,0.20115909515797342,0.20115909515797342,0.0,0.166708,1,100,0,100,0.4796406805439058,0.34773270455830385,0.1584500194476857,0.20115909515797342,0.3659673012523619,0.7770322831583041
2026000001,batch/io_intensive/interactive,57.05,57.05,0.0,0.2075256556442417,0.2075256556442417,0.0,0.13939835999999997,1,92,0,92,0.481768871650326,0.44642757742962524,0.15592105263157896,0.2075256556442417,0.2981692992547646,0.7859868421052632
2026000002,cpu_intensive/mixed/io_intensive,51.9,51.9,0.0,0.2057412681756858,0.20566631689401887,-7.495128166692955e-05,0.1668545699999999,1,129,0,128,0.48641367726857826,0.38011409351685704,0.1271354295617727,0.2057412681756858,0.36744271561166336,0.7665573161673682
2026000003,io_intensive/mixed/cpu_intensive,51.9,51.9,0.0,0.19169578811844767,0.19169578811844767,0.0,0.13879776000000002,0,123,0,123,0.4825065155172275,0.39777295940317015,0.13888054094665664,0.19169578811844767,0.4438584695061452,0.7700976709241172
2026000004,mixed/cpu_intensive/batch,48.55,48.55,0.0,0.21365792410714285,0.2135184151785714,-0.00013950892857145236,0.15928214000000004,1,154,0,153,0.5132077512142913,0.35953552837446,0.16771099035155818,0.21365792410714285,0.37925065819189047,0.7654430520128646
2026000005,cpu_intensive/io_intensive/batch,50.55,50.55,0.0,0.22078335150854234,0.22078335150854234,0.0,0.134345,1,108,0,108,0.4842581715118809,0.401078883253644,0.1567840357603529,0.22078335150854234,0.3839559000943003,0.7713079822979839
2026000006,cpu_intensive/batch/mixed,51.099999999999994,51.099999999999994,0.0,0.22731367731367733,0.22731367731367733,0.0,0.14062099999999994,1,129,0,129,0.4582752185451101,0.40162531947511154,0.16531322505800464,0.22731367731367733,0.3597051597051597,0.7678790773850144
2026000007,batch/io_intensive/mixed,55.699999999999996,55.699999999999996,0.0,0.20790414878397714,0.20790414878397714,0.0,0.13276949999999998,1,118,0,118,0.437356658648186,0.3069668259238265,0.1583091436865022,0.20790414878397714,0.31158798283261807,0.7745283018867924
2026000008,interactive/batch/io_intensive,53.05,53.05,0.0,0.1786023678891135,0.1786023678891135,0.0,0.13853542000000002,1,99,0,99,0.4876160610074281,0.31988623978857916,0.15532303941487202,0.1786023678891135,0.3389680116492783,0.7775294595692808
2026000009,mixed/interactive/batch,57.699999999999996,57.699999999999996,0.0,0.21095631234950124,0.21095631234950124,0.0,0.135844,1,112,0,112,0.45556644235338994,0.3943502069333987,0.18076259218578375,0.21095631234950124,0.36751977984176126,0.7721245881060725
2026000010,cpu_intensive/mixed/interactive,52.9,52.9,0.0,0.20917874396135266,0.20917874396135266,0.0,0.2146880000000002,1,116,0,116,0.4644216618714826,0.4759583575551929,0.10826111266424378,0.20917874396135266,0.4071372963640985,0.7706178361755661
2026000011,mixed/interactive/batch,50.349999999999994,50.349999999999994,0.0,0.20202814569536426,0.20202814569536426,0.0,0.15669695999999994,1,112,0,112,0.45689039460578695,0.3566600202611108,0.13826118855465885,0.20202814569536426,0.38194908608089984,0.7732575201760822
