seed,profiles,p95_response_round_robin,p95_response_adaptive,p95_response_difference,weighted_score_round_robin,weighted_score_adaptive,weighted_score_difference,transition_p99_ms,accepted_switches,held_decisions,dwell_blocked_decisions,low_confidence_decisions,mean_confidence,score_fcfs,score_sjf,score_srtf,score_round_robin,score_priority,score_priority_rr
2026000000,io_intensive/batch/mixed,57.0,249.99999999999972,192.99999999999972,0.2175295988690581,0.08377908122231643,-0.13375051764674167,2.0758919799999993,2,22,1,2,0.7959821863671417,0.36327111353900027,0.17482957860400977,0.18440857316120401,0.2175295988690581,0.3879038786368745,0.7770322831583041
2026000001,batch/io_intensive/interactive,57.05,161.0499999999999,103.9999999999999,0.2388515577275504,0.10189731162052965,-0.13695424610702076,0.22471745999999998,2,20,2,1,0.833378221660059,0.47327747829908107,0.19486842105263158,0.17029762670267604,0.2388515577275504,0.3480037411459697,0.7859868421052632
2026000002,cpu_intensive/mixed/io_intensive,51.9,165.34999999999997,113.44999999999996,0.23248841646225132,0.056571797547807744,-0.17591661891444357,0.2835852399999998,2,27,0,4,0.8195507840586509,0.40669432760754354,0.1500985951766232,0.1670840758721301,0.23248841646225132,0.40379935260383265,0.7665573161673682
2026000003,io_intensive/mixed/cpu_intensive,51.9,353.9,302.0,0.2071029180499738,0.09022613644753422,-0.11687678160243958,0.24595768000000004,2,26,2,3,0.816215548548561,0.40720336376394317,0.14763335837716002,0.1623469914908926,0.2071029180499738,0.45951147011666804,0.7700976709241172
2026000004,mixed/cpu_intensive/batch,48.55,48.55,0.0,0.23141847683852393,0.03713101328210617,-0.19428746355641777,0.25819728,2,33,2,5,0.7969785432783535,0.3772852646912666,0.17010209698085227,0.18714314512553668,0.23141847683852393,0.4030575866704348,0.7654430520128646
2026000005,cpu_intensive/io_intensive/batch,50.55,233.94999999999993,183.39999999999992,0.22886516060713025,0.07239621160054716,-0.1564689490065831,0.2929509999999999,2,23,1,3,0.8416314513861228,0.40968282062109107,0.1462119983894301,0.15013120712266537,0.22886516060713025,0.39523755321841536,0.7713079822979839
2026000006,cpu_intensive/batch/mixed,51.099999999999994,262.2499999999996,211.1499999999996,0.2414382231886309,0.06699209120564023,-0.17444613198299067,0.24534752000000004,2,26,2,3,0.8007488479262673,0.417221923442454,0.16077521495837313,0.1855585109531629,0.2414382231886309,0.3799215655820455,0.7678790773850144
2026000007,batch/io_intensive/mixed,55.699999999999996,386.9,331.2,0.2249242169080498,0.10990749354358852,-0.1150167233644613,0.25860299999999997,2,27,2,2,0.8189953732453168,0.32503098050928775,0.1775399129172714,0.16365276214154878,0.2249242169080498,0.33713371505557427,0.7745283018867924
2026000008,interactive/batch/io_intensive,53.05,188.89999999999992,135.8499999999999,0.21053315994798438,0.07080852279522404,-0.13972463715276034,0.20525049999999997,2,22,1,3,0.8215150262895898,0.3494836645930732,0.1913348232425843,0.2018932274562499,0.21053315994798438,0.38169540874991786,0.7775294595692808
2026000009,mixed/interactive/batch,57.699999999999996,351.15,293.45,0.22805243142649084,0.12081762419662288,-0.10723480722986796,0.27106483999999975,2,25,2,3,0.8158160184066336,0.40982878186683497,0.17528735422156944,0.200798191945757,0.22805243142649084,0.3910555557921424,0.7721245881060725
2026000010,cpu_intensive/mixed/interactive,52.9,113.54999999999995,60.649999999999956,0.22951556245404786,0.03480001065179265,-0.19471555180225522,0.22973983999999983,2,25,1,3,0.784048145874379,0.49103745432340995,0.1322337154039698,0.13279443042793282,0.22951556245404786,0.4319579195984632,0.7706178361755661
2026000011,mixed/interactive/batch,50.349999999999994,355.4,305.04999999999995,0.22090408622160196,0.11463838440080344,-0.10626570182079852,0.21170808,2,25,2,3,0.8098710749600442,0.37215879570917176,0.15623607093018851,0.16744906352384725,0.22090408622160196,0.4055079589282739,0.7732575201760822
2026000012,io_intensive/mixed/cpu_intensive,48.9,432.95,384.05,0.21933015079184665,0.11181493129890493,-0.10751521949294171,0.21611134,2,26,2,2,0.7912629992906445,0.34385229909894605,0.17131868131868133,0.19381266305112635,0.21933015079184665,0.43926166738112893,0.7706593406593407
2026000013,interactive/io_intensive/cpu_intensive,44.9,325.7,280.8,0.2034754608039085,0.1706805895378656,-0.032794871266042885,0.20263280000000003,2,19,2,1,0.9051278246391108,0.3411387969012423,0.2018602669696109,0.19856220375787847,0.2034754608039085,0.3807071314517907,0.7886253905140586
2026000014,batch/cpu_intensive/io_intensive,52.099999999999994,169.3999999999998,117.29999999999981,0.23033855305747525,0.059251909716482976,-0.17108664334099227,0.20634126999999997,2,22,2,2,0.8487139643537386,0.3481692453263272,0.14977236260760535,0.1659410235711957,0.23033855305747525,0.4039631650841271,0.768957345971564
2026000015,mixed/batch/cpu_intensive,49.64999999999999,49.64999999999999,0.0,0.22727272727272727,0.05709504290064403,-0.17017768437208325,0.1951012399999999,2,25,2,4,0.7940428629865695,0.3825270059545955,0.19555416072903584,0.22690308763764525,0.22727272727272727,0.39776053215077606,0.7716564644778334
2026000016,cpu_intensive/io_intensive/interactive,51.349999999999994,156.0,104.65,0.22448692718583074,0.050043506174300895,-0.17444342101152985,0.18431791999999994,2,25,2,3,0.8239172779148466,0.5679465492180351,0.13767056530214425,0.14151027532801916,0.22448692718583074,0.44242448245172233,0.7726608187134503
