algorithm,max_waiting_time,p95_waiting_time,starvation_count,priority_mean_waiting_time,priority_max_waiting_time,post_io_mean_response_time,post_io_max_response_time
FCFS,312,198.0,9396,90.67689114391143,312,28.991525010959037,187
SJF,280,172.0,5507,57.180350553505534,273,6.3582874677317225,249
SRTF,279,178.0,6514,65.31642066420665,276,12.171058399493448,264
Round Robin,279,203.0,10723,101.74100553505535,277,10.939359992206906,21
Priority,295,197.0,6705,33.708487084870846,222,9.111246407871024,275
Priority RR,605,434.0,10788,216.9264298892989,580,14.947396619745751,22
