profile,seed,oracle,selected,correct,regret,inference_ms,score_fcfs,score_sjf,score_srtf,score_round_robin,score_priority,score_priority_rr,max_wait_fcfs,max_wait_sjf,max_wait_srtf,max_wait_round_robin,max_wait_priority,max_wait_priority_rr,switch_time_fcfs,switch_time_sjf,switch_time_srtf,switch_time_round_robin,switch_time_priority,switch_time_priority_rr
interactive,20260000000,SRTF,Round Robin,0,0.0032814022767644613,1.3942079967819154,0.15468208931496627,0.23047251033828212,0.12030253181180406,0.12358393408856852,0.35187923746996225,0.8036912751677853,65,71,56,65,73,155,0,0,0,0,0,85
interactive,20260000001,SRTF,Round Robin,0,0.0274987459922221,0.10208399908151478,0.12621930273707135,0.2112700150763973,0.08479071438835058,0.11228946038057268,0.30947429229601764,0.8167870036101084,65,76,78,68,71,161,0,0,0,0,0,97
interactive,20260000002,SRTF,Round Robin,0,0.03321483368951722,0.13558399950852618,0.13415324127349443,0.1487981664184661,0.07933927886459533,0.11255411255411255,0.3379965622612681,0.7871835443037974,68,72,76,68,78,174,0,0,0,0,0,102
interactive,20260000003,Round Robin,Round Robin,1,0.0,0.07470800483133644,0.14610456199172495,0.18862768850108774,0.22111159400273614,0.11446220930232556,0.3784088574208103,0.790644171779141,80,85,87,83,97,200,0,0,0,0,0,118
interactive,20260000004,SRTF,Round Robin,0,0.002468619246861925,0.06754100468242541,0.16574351747257535,0.2567205929684394,0.11558016124094295,0.11804878048780487,0.3746072946968002,0.7782426778242677,64,74,70,61,80,148,0,0,0,0,0,85
interactive,20260000005,Round Robin,Round Robin,1,0.0,0.0715830028639175,0.1516011241418208,0.24870845269806166,0.1448310545041378,0.12286972231705934,0.3035905454135677,0.8362944162436547,65,61,68,61,71,156,0,0,0,0,0,93
interactive,20260000006,Round Robin,Round Robin,1,0.0,0.2096659954986535,0.1490356295275189,0.20951385106038412,0.13736119447779113,0.11033163265306123,0.3480985236095569,0.7757352941176471,89,94,93,91,98,213,0,0,0,0,0,122
interactive,20260000007,SRTF,Round Robin,0,0.022791863787149452,0.09679199865786359,0.137266685520362,0.14440706352471058,0.10848981223884471,0.13128167602599417,0.318464087995338,0.7907239819004526,57,62,76,58,76,146,0,0,0,0,0,87
interactive,20260000008,Round Robin,Round Robin,1,0.0,0.06858399865450338,0.20149507065043656,0.2662725654716502,0.1555334794922342,0.15051619938982233,0.2931985294117647,0.7965838509316769,67,69,72,64,82,160,0,0,0,0,0,95
interactive,20260000009,Round Robin,Round Robin,1,0.0,0.07470900163752958,0.16929021512472595,0.13692307692307693,0.16140702318280872,0.12306558585114222,0.32014194126735096,0.7776923076923077,73,83,82,75,97,196,0,0,0,0,0,109
interactive,20260000010,Round Robin,Round Robin,1,0.0,0.15666599938413128,0.09907640827106029,0.10452816144239516,0.11028472716788747,0.08964316797214969,0.35547467485598744,0.828448275862069,70,74,77,70,85,176,0,0,0,0,0,104
interactive,20260000011,SRTF,Round Robin,0,0.08914994432551909,0.0853750025271438,0.16865436708397394,0.17680107642318316,0.05598711217894834,0.14513705650446743,0.3822187497521238,0.853448275862069,47,47,41,41,58,111,0,0,0,0,0,72
interactive,20260000012,FCFS,Round Robin,0,0.011240900491240838,0.07291599467862397,0.10130083500850473,0.2832050655045918,0.18114911822637322,0.11254173549974557,0.3166950900420506,0.8183856502242153,64,71,67,64,68,153,0,0,0,0,0,92
interactive,20260000013,SRTF,Round Robin,0,0.004379497347130348,0.07087499398039654,0.12945473984319317,0.2585472931840807,0.10540311134852184,0.10978260869565219,0.31710006852607575,0.7688524590163934,77,85,80,74,87,186,0,0,0,0,0,109
interactive,20260000014,SRTF,Round Robin,0,0.00432821330042088,0.1996669961954467,0.1316479378254524,0.15814379712390142,0.0919606532993785,0.09628886659979938,0.3699884648617945,0.8038922155688623,55,59,54,55,72,144,0,0,0,0,0,88
interactive,20260000015,SRTF,Round Robin,0,0.03608018470651016,0.09558400051901117,0.13365113441314816,0.21181151976843743,0.08357116236163564,0.1196513470681458,0.351800158184582,0.7891373801916932,67,84,71,66,85,168,0,0,0,0,0,98
interactive,20260000016,SRTF,Round Robin,0,0.01781853624095192,0.07404100324492902,0.12398975387286493,0.19817897747334232,0.11874747820558282,0.13656601444653474,0.321113074204947,0.7889273356401384,64,71,70,67,76,158,0,0,0,0,0,90
interactive,20260000017,Round Robin,Round Robin,1,0.0,0.06866699550300837,0.1739897767016411,0.29772875914144714,0.1448514046069726,0.1271186440677966,0.2843169533770458,0.8233333333333333,82,97,84,82,88,205,0,0,0,0,0,117
interactive,20260000018,Round Robin,Round Robin,1,0.0,0.1444590016035363,0.1896374829001368,0.24099422326133538,0.17324013980422,0.14305385556915542,0.3672782182959928,0.8141711229946524,55,66,59,54,57,137,0,0,0,0,0,78
interactive,20260000019,Round Robin,Round Robin,1,0.0,0.07733299571555108,0.16397553311746785,0.29700163467340907,0.21673564143339785,0.11468970934799687,0.2840161048944673,0.7896341463414633,70,83,82,68,92,180,0,0,0,0,0,103
interactive,20260000020,Round Robin,Round Robin,1,0.0,0.06858299457235262,0.1465727668557857,0.25644538268056055,0.17389662224567884,0.13387149430478534,0.3376094450053637,0.7727272727272727,81,85,86,85,97,196,0,0,0,0,0,114
interactive,20260000021,Round Robin,Round Robin,1,0.0,0.07379200542345643,0.12497234207323815,0.16539219425375032,0.13168163005365066,0.10600449670859473,0.30039223987413777,0.8079710144927537,57,71,65,57,66,152,0,0,0,0,0,93
interactive,20260000022,Round Robin,Round Robin,1,0.0,0.13483400107361376,0.13662985259004545,0.27863568065711714,0.19110780543008182,0.12861976435839445,0.2970879545992839,0.785820895522388,91,100,90,91,111,212,0,0,0,0,0,122
interactive,20260000023,SRTF,Round Robin,0,0.011472292915591126,0.08695799624547362,0.1422496857980729,0.2723738525625318,0.1153899092842176,0.12686220219980873,0.3781718256383503,0.7835497835497836,74,82,66,70,82,169,0,0,0,0,0,102
interactive,20260000024,FCFS,Round Robin,0,0.014211563011543582,0.06766599835827947,0.13928122839468188,0.16747256725239917,0.16068027515696132,0.15349279140622546,0.33014759842036284,0.79182156133829,58,62,69,59,68,144,0,0,0,0,0,83
interactive,20260000025,Round Robin,Round Robin,1,0.0,0.23987500026123598,0.15616936602257542,0.23790322580645168,0.17366920131473462,0.11265223274695535,0.28197931987997876,0.7725155279503105,82,94,91,87,94,202,0,0,0,0,0,115
interactive,20260000026,SRTF,Round Robin,0,0.01272739579892454,0.08399999933317304,0.17643791256694485,0.29935883014623177,0.0988680706352516,0.11159546643417614,0.37534844658059896,0.8057142857142857,64,85,73,65,84,178,0,0,0,0,0,105
