process_count,arrival_rate,burst_mean,burst_variance,short_job_ratio,priority_mean,priority_variance,io_frequency,io_cpu_ratio,profile,seed,label,score_fcfs,score_sjf,score_srtf,score_round_robin,score_priority,score_priority_rr
12.0,0.9230769230769231,8.5,6.583333333333333,1.0,3.0833333333333335,1.9097222222222223,2.3333333333333335,1.5294117647058822,interactive,420000000,Round Robin,0.16457162808485895,0.3046550622804216,0.11566578181548377,0.09117402164862613,0.2968901345943473,0.7834158415841584
12.0,1.2,9.416666666666666,9.243055555555555,1.0,2.75,1.8541666666666667,2.9166666666666665,1.6194690265486726,interactive,420000001,Round Robin,0.14738296634443251,0.24887124873526661,0.18938035702603376,0.12037935190644551,0.2993287094272316,0.7771381578947368
12.0,1.0909090909090908,8,10,1.0,2.8333333333333335,2.638888888888889,2.5,1.625,interactive,420000002,FCFS,0.1044889634247613,0.27384795797827804,0.12323443575914905,0.1059378693259923,0.3735026118377126,0.8071748878923767
12.0,0.8571428571428571,8.5,6.75,1.0,2.25,1.5208333333333333,2.5,1.411764705882353,interactive,420000003,Round Robin,0.1715362969677431,0.2259328679398039,0.1721684060946648,0.12453201291879429,0.3046734412192912,0.782871972318339
12.0,0.8571428571428571,7.333333333333333,8.88888888888889,1.0,2.6666666666666665,2.5555555555555554,2.0833333333333335,1.5568181818181819,interactive,420000004,SRTF,0.1339680289692797,0.21787841474342987,0.09957449455464866,0.11121154264212775,0.3145606767885153,0.8002793296089385
12.0,1.0,10.166666666666666,10.13888888888889,1.0,3.4166666666666665,1.5763888888888888,2.5833333333333335,1.139344262295082,interactive,420000005,Round Robin,0.16193159853520916,0.137987012987013,0.19736605831519943,0.1242403781228899,0.32378982439918597,0.7792207792207793
12.0,1.2,9.666666666666666,11.38888888888889,1.0,3.4166666666666665,2.076388888888889,2.6666666666666665,1.3189655172413792,interactive,420000006,SRTF,0.1728954366419625,0.24510050162373273,0.11512210695047718,0.11928571428571429,0.2932216133554224,0.7911849710982659
12.0,1.2,9.583333333333334,12.409722222222221,1.0,2.9166666666666665,1.5763888888888888,2.5,1.4173913043478261,interactive,420000007,Round Robin,0.13828201745405158,0.17628448176423592,0.22584929316157146,0.12009629168678697,0.3491664499011549,0.7882562277580072
12.0,0.8571428571428571,9.083333333333334,3.4097222222222223,1.0,2.8333333333333335,1.9722222222222223,3.0833333333333335,1.5412844036697249,interactive,420000008,SRTF,0.13230241807578752,0.2137228664882545,0.12134957525942817,0.1370573682720593,0.3367883082764863,0.8026315789473684
12.0,1.0,7.166666666666667,5.638888888888889,1.0,3.3333333333333335,1.7222222222222223,2.1666666666666665,1.5116279069767442,interactive,420000009,SRTF,0.1289139721896465,0.20314330194973684,0.08390643323839839,0.1043307086614173,0.3157746564938806,0.8053191489361702
12.0,1.0,9.5,10.916666666666666,1.0,2.25,1.8541666666666667,2.5833333333333335,1.4210526315789473,interactive,420000010,Round Robin,0.1299036293239161,0.25538410466887046,0.17590076420682502,0.11957023081170398,0.30588867339597875,0.778782894736842
12.0,1.0,7.916666666666667,14.743055555555555,1.0,2.5833333333333335,2.076388888888889,2.1666666666666665,1.4210526315789473,interactive,420000011,SRTF,0.13639308060360691,0.2750776736850106,0.10543622281608553,0.13981376169653578,0.36773133581235695,0.8286713286713288
12.0,1.2,7.416666666666667,8.243055555555555,1.0,2.5,1.5833333333333333,2.1666666666666665,1.5056179775280898,interactive,420000012,FCFS,0.13695236998760657,0.1927248983370252,0.2234316474712158,0.1479181332255552,0.34968070163229503,0.8288590604026845
12.0,1.0,9.083333333333334,6.743055555555555,1.0,3,1.8333333333333333,2.9166666666666665,1.4036697247706422,interactive,420000013,Round Robin,0.12972782501205982,0.2592255717255717,0.2128463428605885,0.10926193921852387,0.3200615504406875,0.828125
12.0,0.9230769230769231,8.333333333333334,12.722222222222221,1.0,2.5,2.25,2.5,1.32,interactive,420000014,SRTF,0.1313333115099856,0.19089786495080702,0.08311561024064108,0.12734052764630968,0.3373239436619718,0.7947530864197532
