ready_count,blocked_count,remaining_cpu_mean,remaining_cpu_variance,priority_mean,ready_wait_mean,recent_arrivals,io_return_ratio,seed,epoch,profiles,label,score_fcfs,score_sjf,score_srtf,score_round_robin,score_priority,score_priority_rr
15.0,1.0,10.8125,52.15234375,2.75,6.2,16.0,0.2,42000000,0,mixed/batch/interactive,SJF,0.2795351325165019,0.04205607476635515,0.23163339456208001,0.3547516198704109,0.75,0.75772693324721
22.0,1.0,9.782608695652174,43.039697542533084,3.0869565217391304,13.363636363636363,7.0,0.2222222222222222,42000000,1,mixed/batch/interactive,SJF,0.6356476079346556,0.0551181102362205,0.06884480746791116,0.3903305570613475,0.49261409053739846,0.8090551181102362
34.0,0.0,6.794117647058823,34.81055363321799,2.8823529411764706,17.235294117647058,11.0,0.08333333333333333,42000000,2,mixed/batch/interactive,SRTF,0.36925583674213486,0.0843949044585987,0.07915921288014287,0.2606309036837847,0.75,0.7156247507491764
33.0,1.0,6.5,30.720588235294116,2.8823529411764706,24.393939393939394,0.0,1.0,42000000,3,mixed/batch/interactive,SJF,0.5623209169054445,0.08583690987124469,0.10743448479407744,0.31088825214899746,0.2885651216842728,0.8304721030042919
32.0,2.0,6.294117647058823,28.85467128027682,2.8823529411764706,27.28125,0.0,1.0,42000000,4,mixed/batch/interactive,SJF,0.5223097112860894,0.24230769230769234,0.3152130022208766,0.3438320209973755,0.38825964062184526,0.8038461538461541
34.0,0.0,5.794117647058823,26.222318339100347,2.8823529411764706,28.235294117647058,0.0,1.0,42000000,5,mixed/batch/interactive,SJF,0.21664994984954844,0.0,0.17001003009027132,0.2362086258776333,0.5,0.6065697091273826
34.0,0.0,5.4411764705882355,23.71712802768166,2.8823529411764706,30.294117647058822,0.0,1.0,42000000,6,mixed/batch/interactive,SJF,0.32196339434276294,0.0,0.20715474209650647,0.27787021630615716,0.1372712146422627,0.75
32.0,0.0,5.53125,22.3740234375,2.9375,28.90625,0.0,1.0,42000000,7,mixed/batch/interactive,SJF,0.18942731277533006,0.0,0.18061674008810574,0.31204111600587414,0.20704845814977987,0.75
32.0,0.0,5.21875,19.7333984375,2.9375,27.84375,0.0,1.0,42000000,8,mixed/batch/interactive,SJF,0.16016150740242263,0.0,0.1500672947510095,0.2671601615074027,0.5,0.6679004037685058
31.0,1.0,4.78125,17.1083984375,2.9375,28.06451612903226,0.0,1.0,42000000,9,mixed/batch/interactive,SJF,0.24870912220309813,0.0,0.21944922547332185,0.285714285714286,0.18502581755593844,0.75
28.0,1.0,5.068965517241379,15.719381688466111,2.896551724137931,29,0.0,1.0,42000000,10,mixed/batch/interactive,SJF,0.21267361111111166,0.0,0.23263888888888873,0.3220486111111119,0.4878472222222232,0.75
28.0,1.0,4.586206896551724,14.035671819262783,2.896551724137931,27.714285714285715,0.0,1.0,42000000,11,mixed/batch/interactive,SJF,0.23841698841698905,0.0,0.162162162162163,0.2403474903474911,0.5,0.6795366795366801
26.0,1.0,4.888888888888889,15.061728395061728,2.888888888888889,28.76923076923077,0.0,1.0,42000000,12,mixed/batch/interactive,SJF,0.12935323383084435,0.0,0.12935323383084435,0.2624378109452736,0.14800995024875607,0.75
26.0,1.0,4.2592592592592595,15.080932784636488,2.888888888888889,27.846153846153847,0.0,1.0,42000000,13,mixed/batch/interactive,SJF,0.37648456057007107,0.0,0.14608076009501222,0.2470308788598579,0.1733966745843229,0.75
25.0,0.0,4.6,15.12,2.88,24.48,0.0,1.0,42000000,14,mixed/batch/interactive,SJF,0.28664921465968535,0.0,0.083769633507853,0.25,0.47251308900523536,0.75
21.0,2.0,5.391304347826087,17.455576559546312,2.739130434782609,22.142857142857142,0.0,1.0,42000000,15,mixed/batch/interactive,SJF,0.28063725490196134,0.0,0.017156862745099016,0.3137254901960797,0.262254901960785,0.75
21.0,0.0,5.095238095238095,16.94331065759637,2.761904761904762,19.761904761904763,0.0,1.0,42000000,16,mixed/batch/interactive,SRTF,0.27733333333333343,0.03866666666666755,0.0,0.2853333333333339,0.38266666666666627,0.75
18.0,0.0,4.833333333333333,14.36111111111111,2.7222222222222223,20.27777777777778,0.0,0.0,42000000,17,mixed/batch/interactive,SJF,0.24471299093655488,0.0,0.02114803625377644,0.3202416918429005,0.33685800604229577,0.75
16.0,1.0,4.411764705882353,12.477508650519031,2.588235294117647,17.75,0.0,1.0,42000000,18,mixed/batch/interactive,SJF,0.3115264797507786,0.0,0.012461059190031865,0.30373831775701016,0.33021806853582636,0.75
14.0,0.0,4,9.428571428571429,2.5714285714285716,14.071428571428571,0.0,1.0,42000000,19,mixed/batch/interactive,SJF,0.27935222672064636,0.0,0.08299595141700632,0.2854251012145757,0.48582995951416735,0.75
12.0,0.0,3.25,8.020833333333334,2.8333333333333335,11.583333333333334,0.0,1.0,42000000,20,mixed/batch/interactive,SJF,0.24242424242424226,0.0,0.0303030303030297,0.2636363636363641,0.4666666666666641,0.75
7.0,0.0,8.714285714285714,52.48979591836735,2.4285714285714284,7.142857142857143,0.0,1.0,42000000,21,mixed/batch/interactive,SRTF,0.14705882352941066,0.009803921568628008,0.0,0.29901960784314,0.34313725490196134,0.75
5.0,0.0,8.2,55.76,2.8,6,0.0,0.0,42000000,22,mixed/batch/interactive,SJF,0.3846153846153848,0.0,0.0,0.20000000000000356,0.3846153846153848,0.75
2.0,0.0,10.5,20.25,2.5,1.5,0.0,0.0,42000000,23,mixed/batch/interactive,SJF,0.3749999999999839,0.0,0.0,0.2500000000000161,0.3749999999999839,0.75
1.0,0.0,1,0,1,0,0.0,0.0,42000000,24,mixed/batch/interactive,FCFS,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,6.076923076923077,41.14792899408284,2.8461538461538463,7,13.0,0.23529411764705882,42000001,0,mixed/cpu_intensive/batch,SJF,0.3402541493307824,0.12207019792240152,0.1854089764532812,0.29644588045234244,0.25,0.8198324022346368
20.0,2.0,10.454545454545455,67.88429752066116,2.909090909090909,10.15,9.0,0.3076923076923077,42000001,1,mixed/cpu_intensive/batch,SJF,0.6114993646759846,0.18059701492537317,0.28621157237952516,0.3627700127064802,0.33937871000777564,0.826865671641791
30.0,0.0,10.3,43.81,2.8333333333333335,16.666666666666668,8.0,0.3333333333333333,42000001,2,mixed/cpu_intensive/batch,SJF,0.2885852090032152,0.10326086956521742,0.2373934013700541,0.33762057877813534,0.2470536837690482,0.825
28.0,1.0,10.206896551724139,40.92271105826397,2.8620689655172415,24.892857142857142,0.0,1.0,42000001,3,mixed/cpu_intensive/batch,SJF,0.5072318788867366,0.15073529411764705,0.2647313691507798,0.3292894280762565,0.26509774186971147,0.8161764705882353
27.0,0.0,10.222222222222221,38.39506172839506,2.814814814814815,27.074074074074073,0.0,1.0,42000001,4,mixed/cpu_intensive/batch,Priority,0.5,0.25,0.28730848861283664,0.2266666666666668,0.17523809523809536,0.5775362318840583
27.0,0.0,9.777777777777779,30.098765432098766,2.814814814814815,25.925925925925927,0.0,1.0,42000001,5,mixed/cpu_intensive/batch,SJF,0.02886247877758895,0.0,0.053480475382004,0.3412563667232602,0.08064516129032309,0.75
27.0,0.0,9.296296296296296,27.689986282578875,2.814814814814815,24.48148148148148,0.0,1.0,42000001,6,mixed/cpu_intensive/batch,SRTF,0.2986906710310969,0.0818330605564657,0.0,0.34697217675941133,0.2986906710310969,0.75
27.0,0.0,8.703703703703704,24.430727023319616,2.814814814814815,24.51851851851852,0.0,1.0,42000001,7,mixed/cpu_intensive/batch,SJF,0.5,0.0,0.09487534626038814,0.31925207756232676,0.07063711911357334,0.700138504155124
26.0,0.0,8.26923076923077,23.965976331360945,2.8076923076923075,25.923076923076923,0.0,0.0,42000001,8,mixed/cpu_intensive/batch,SJF,0.32425742574257443,0.0,0.05858085808580871,0.3498349834983501,0.14851485148514834,0.75
26.0,0.0,7.5,25.78846153846154,2.8076923076923075,25.76923076923077,0.0,0.0,42000001,9,mixed/cpu_intensive/batch,SRTF,0.5,0.011487303506650408,0.0,0.2370012091898428,0.11547762998790764,0.5970374848851269
25.0,1.0,6.846153846153846,21.36094674556213,2.8076923076923075,26.24,0.0,0.0,42000001,10,mixed/cpu_intensive/batch,SRTF,0.1101190476190481,0.03670634920634869,0.0,0.32539682539682596,0.25694444444444525,0.75
24.0,1.0,6.36,22.2304,2.88,26.125,0.0,1.0,42000001,11,mixed/cpu_intensive/batch,SRTF,0.16935483870967713,0.07963709677419335,0.0,0.3326612903225808,0.32056451612903203,0.75
22.0,0.0,6.318181818181818,24.762396694214875,2.8636363636363638,26.09090909090909,0.0,1.0,42000001,12,mixed/cpu_intensive/batch,SJF,0.5,0.0,0.08241758241758236,0.2935635792778649,0.20094191522762947,0.6644427001569855
22.0,0.0,5.409090909090909,20.696280991735538,2.8636363636363638,23.045454545454547,0.0,0.0,42000001,13,mixed/cpu_intensive/batch,SJF,0.24871794871794856,0.0,0.0038461538461534092,0.3025641025641029,0.24230769230769275,0.75
19.0,0.0,5.2631578947368425,22.614958448753463,2.9473684210526314,20.842105263157894,0.0,0.0,42000001,14,mixed/cpu_intensive/batch,SJF,0.5,0.0,0.07645631067961134,0.2682038834951463,0.183252427184466,0.6820388349514571
16.0,0.0,5.8125,20.90234375,2.75,19.6875,0.0,1.0,42000001,15,mixed/cpu_intensive/batch,SJF,0.2163742690058481,0.0,0.14912280701754385,0.3479532163742692,0.26315789473684215,0.75
14.0,0.0,7.928571428571429,39.066326530612244,2.7142857142857144,15.5,0.0,1.0,42000001,16,mixed/cpu_intensive/batch,SJF,0.5,0.0,0.007374631268437409,0.26401179941002956,0.0457227138643069,0.6703539823008845
13.0,0.0,7.923076923076923,36.37869822485207,2.8461538461538463,11.384615384615385,0.0,1.0,42000001,17,mixed/cpu_intensive/batch,SJF,0.3790613718411546,0.0,0.1534296028880872,0.3194945848375452,0.15523465703971134,0.75
10.0,0.0,8.4,28.84,2.9,11.4,0.0,0.0,42000001,18,mixed/cpu_intensive/batch,SJF,0.3453815261044177,0.0,0.14859437751003876,0.3453815261044177,0.12650602409638367,0.75
9.0,0.0,9.222222222222221,25.728395061728396,2.888888888888889,8.444444444444445,0.0,1.0,42000001,19,mixed/cpu_intensive/batch,SJF,0.34081632653061217,0.0,0.30612244897959195,0.36938775510204125,0.1877551020408162,0.75
9.0,0.0,8.88888888888889,23.876543209876544,2.888888888888889,7.777777777777778,0.0,1.0,42000001,20,mixed/cpu_intensive/batch,SJF,0.21686746987951588,0.0,0.3102409638554218,0.3644578313253013,0.15662650602409764,0.75
8.0,0.0,7.375,23.234375,3,7,0.0,0.0,42000001,21,mixed/cpu_intensive/batch,SJF,0.32550335570469896,0.0,0.21476510067114135,0.3758389261744979,0.12416107382550326,0.75
7.0,0.0,9.285714285714286,54.48979591836735,3.2857142857142856,6.285714285714286,0.0,1.0,42000001,22,mixed/cpu_intensive/batch,SJF,0.017857142857144816,0.0,0.014285714285713416,0.29642857142857226,0.23214285714285823,0.75
6.0,0.0,10.333333333333334,46.55555555555556,3.1666666666666665,4.5,0.0,1.0,42000001,23,mixed/cpu_intensive/batch,SJF,0.1777777777777828,0.0,0.0,0.35555555555555995,0.22777777777777908,0.75
4.0,0.0,10.75,36.1875,3.25,6,0.0,0.0,42000001,24,mixed/cpu_intensive/batch,SJF,0.25000000000000183,0.0,0.0,0.3913043478260876,0.25000000000000183,0.75
2.0,0.0,11.5,2.25,3.5,2.5,0.0,0.0,42000001,25,mixed/cpu_intensive/batch,FCFS,0.0,0.0,0.0,0.2666666666666856,0.10000000000002274,0.75
1.0,0.0,3,0,3,0,0.0,0.0,42000001,26,mixed/cpu_intensive/batch,FCFS,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,15.666666666666666,43.111111111111114,3.5555555555555554,6,9.0,0.0,42000002,0,cpu_intensive/batch/mixed,SJF,0.75,0.032108265388822776,0.1516924494125254,0.1747941735275491,0.08426573426573424,0.4940566083694644
19.0,0.0,13.263157894736842,34.19390581717452,3.4210526315789473,11.894736842105264,10.0,0.0,42000002,1,cpu_intensive/batch/mixed,SJF,0.23924929101221667,0.12892670157068067,0.34599967277486904,0.34505208333333337,0.2747395833333337,0.8167539267015707
30.0,0.0,10.566666666666666,34.312222222222225,3.1333333333333333,16.1,11.0,0.0,42000002,2,cpu_intensive/batch/mixed,SJF,0.25,0.1577843222339925,0.3114558472553701,0.400102740163108,0.3385862698301275,0.8315508021390374
30.0,0.0,10,31.933333333333334,3.1333333333333333,23.566666666666666,0.0,1.0,42000002,3,cpu_intensive/batch/mixed,SJF,0.537373004354136,0.23063380281690138,0.39757558412886584,0.3483309143686501,0.2775761973875178,0.8397887323943661
29.0,1.0,9.433333333333334,34.37888888888889,3.1333333333333333,27.79310344827586,0.0,0.0,42000002,4,cpu_intensive/batch/mixed,Priority,0.75,0.10710227272727282,0.24164772727272715,0.20607954545454554,0.0,0.5850378787878788
30.0,0.0,8.766666666666667,30.77888888888889,3.1333333333333333,27.766666666666666,0.0,1.0,42000002,5,cpu_intensive/batch/mixed,SJF,0.09164222873900328,0.0,0.26906158357771276,0.34604105571847515,0.06818181818181863,0.75
30.0,0.0,8.1,30.423333333333332,3.1333333333333333,28.466666666666665,0.0,0.0,42000002,6,cpu_intensive/batch/mixed,Priority,0.30723781388478605,0.06646971935007387,0.2651403249630726,0.341949778434269,0.0,0.75
28.0,2.0,7.733333333333333,27.92888888888889,3.1333333333333333,30.214285714285715,0.0,1.0,42000002,7,cpu_intensive/batch/mixed,SJF,0.3740279937791602,0.0,0.19751166407464943,0.3398133748055986,0.03888024883359244,0.75
30.0,0.0,7.166666666666667,26.272222222222222,3.1333333333333333,27.5,0.0,1.0,42000002,8,cpu_intensive/batch/mixed,SJF,0.06957928802589007,0.0,0.0703883495145633,0.33009708737864096,0.11003236245954745,0.75
29.0,1.0,7.166666666666667,27.272222222222222,3.1333333333333333,28.344827586206897,0.0,1.0,42000002,9,cpu_intensive/batch/mixed,SRTF,0.29565217391304355,0.0008695652173919955,0.0,0.31739130434782625,0.05913043478260913,0.75
29.0,1.0,6.533333333333333,26.515555555555554,3.1333333333333333,28.689655172413794,0.0,1.0,42000002,10,cpu_intensive/batch/mixed,SJF,0.25965996908809896,0.0,0.0633693972179292,0.3176197836166924,0.14528593508500776,0.75
